Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Urban population (% of total),SP.URB.TOTL.IN.ZS,Philippines,PHL,48.59,47.955,45.793,45.524,45.255,45.017,44.81,44.633,44.488,44.373,44.289,44.235
Urban population (% of total),SP.URB.TOTL.IN.ZS,Poland,POL,61.27,61.716,61.116,61.004,60.892,60.78,60.688,60.617,60.568,60.539,60.531,60.545
Urban population (% of total),SP.URB.TOTL.IN.ZS,Portugal,PRT,47.915,54.399,59.359,59.964,60.567,61.167,61.758,62.338,62.908,63.468,64.017,64.556
Urban population (% of total),SP.URB.TOTL.IN.ZS,Puerto Rico,PRI,92.942,94.387,93.942,93.884,93.825,93.771,93.722,93.676,93.636,93.6,93.569,93.543
Urban population (% of total),SP.URB.TOTL.IN.ZS,Qatar,QAT,92.786,96.311,98.261,98.47,98.655,98.812,98.946,99.061,99.159,99.244,99.317,99.381
Urban population (% of total),SP.URB.TOTL.IN.ZS,Romania,ROU,53.217,53.004,53.567,53.698,53.829,53.96,54.091,54.235,54.393,54.564,54.749,54.947
Urban population (% of total),SP.URB.TOTL.IN.ZS,Russian Federation,RUS,73.394,73.35,73.598,73.642,73.687,73.732,73.786,73.851,73.924,74.008,74.101,74.203
Urban population (% of total),SP.URB.TOTL.IN.ZS,Rwanda,RWA,5.416,14.926,22.033,22.988,23.952,24.922,25.894,26.869,27.841,28.811,29.775,30.731
Urban population (% of total),SP.URB.TOTL.IN.ZS,Samoa,WSM,21.2,21.977,20.524,20.3,20.078,19.857,19.639,19.44,19.26,19.098,18.955,18.83
Urban population (% of total),SP.URB.TOTL.IN.ZS,San Marino,SMR,90.4,93.44,94.056,94.07,94.086,94.104,94.123,94.144,94.166,94.19,94.216,94.244
Urban population (% of total),SP.URB.TOTL.IN.ZS,Sao Tome and Principe,STP,43.648,53.424,60.434,61.185,61.907,62.6,63.265,63.902,64.511,65.092,65.647,66.174
Urban population (% of total),SP.URB.TOTL.IN.ZS,Saudi Arabia,SAU,76.583,79.848,81.649,81.867,82.084,82.298,82.51,82.719,82.926,83.13,83.331,83.53
Urban population (% of total),SP.URB.TOTL.IN.ZS,Senegal,SEN,38.9,40.345,41.74,41.977,42.23,42.497,42.781,43.079,43.393,43.721,44.065,44.424
Urban population (% of total),SP.URB.TOTL.IN.ZS,Serbia,SRB,50.393,53.188,55.11,55.159,55.208,55.258,55.307,55.373,55.455,55.553,55.668,55.799
Urban population (% of total),SP.URB.TOTL.IN.ZS,Seychelles,SYC,49.258,50.12,51.775,52.041,52.319,52.611,52.915,53.231,53.559,53.887,54.214,54.541
Urban population (% of total),SP.URB.TOTL.IN.ZS,Sierra Leone,SLE,33.252,35.626,37.645,37.937,38.241,38.557,38.885,39.226,39.578,39.942,40.318,40.707
Urban population (% of total),SP.URB.TOTL.IN.ZS,Singapore,SGP,100,100,100,100,100,100,100,100,100,100,100,100
Urban population (% of total),SP.URB.TOTL.IN.ZS,Sint Maarten (Dutch part),SXM,100,100,100,100,100,100,100,100,100,100,100,100
Urban population (% of total),SP.URB.TOTL.IN.ZS,Slovak Republic,SVK,56.491,56.233,55.111,54.96,54.685,54.41,54.163,53.945,53.757,53.598,53.468,53.368
Urban population (% of total),SP.URB.TOTL.IN.ZS,Slovenia,SVN,50.38,50.752,50.224,50.133,50.04,49.948,49.856,49.764,49.695,49.65,49.627,49.628
Urban population (% of total),SP.URB.TOTL.IN.ZS,Solomon Islands,SLB,13.677,15.813,19.138,19.589,20.048,20.506,20.964,21.421,21.876,22.329,22.779,23.226
Urban population (% of total),SP.URB.TOTL.IN.ZS,Somalia,SOM,29.658,33.247,36.394,36.823,37.259,37.702,38.153,38.612,39.078,39.551,40.03,40.517
Urban population (% of total),SP.URB.TOTL.IN.ZS,South Africa,ZAF,52.037,56.891,61.154,61.687,62.218,62.746,63.272,63.788,64.298,64.801,65.295,65.782
Urban population (% of total),SP.URB.TOTL.IN.ZS,South Sudan,SSD,13.276,16.504,17.555,17.699,17.855,18.022,18.2,18.39,18.591,18.804,19.03,19.268
Urban population (% of total),SP.URB.TOTL.IN.ZS,Spain,ESP,75.351,76.262,77.976,78.21,78.442,78.673,78.902,79.129,79.355,79.579,79.802,80.024
Urban population (% of total),SP.URB.TOTL.IN.ZS,Sri Lanka,LKA,18.566,18.443,18.345,18.333,18.321,18.309,18.297,18.3,18.32,18.356,18.407,18.475
Urban population (% of total),SP.URB.TOTL.IN.ZS,St. Kitts and Nevis,KNA,34.609,32.778,31.845,31.816,31.806,31.815,31.844,31.892,31.96,32.047,32.153,32.279
Urban population (% of total),SP.URB.TOTL.IN.ZS,St. Lucia,LCA,29.349,27.774,20.131,19.213,18.45,18.45,18.45,18.459,18.477,18.504,18.54,18.586
Urban population (% of total),SP.URB.TOTL.IN.ZS,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Urban population (% of total),SP.URB.TOTL.IN.ZS,St. Vincent and the Grenadines,VCT,41.409,45.186,48.071,48.428,48.785,49.14,49.495,49.848,50.2,50.55,50.899,51.247
Urban population (% of total),SP.URB.TOTL.IN.ZS,Sudan,SDN,28.61,32.495,32.919,32.99,33.08,33.188,33.315,33.46,33.623,33.806,34.007,34.227
Urban population (% of total),SP.URB.TOTL.IN.ZS,Suriname,SUR,65.706,66.444,66.479,66.412,66.344,66.276,66.208,66.14,66.085,66.043,66.015,66
Urban population (% of total),SP.URB.TOTL.IN.ZS,Swaziland,SWZ,22.908,22.686,21.67,21.574,21.492,21.425,21.374,21.337,21.315,21.308,21.315,21.337
Urban population (% of total),SP.URB.TOTL.IN.ZS,Sweden,SWE,83.1,84.026,84.746,84.902,85.056,85.21,85.363,85.514,85.665,85.815,85.964,86.112
Urban population (% of total),SP.URB.TOTL.IN.ZS,Switzerland,CHE,73.184,73.322,73.588,73.625,73.663,73.701,73.739,73.787,73.844,73.912,73.99,74.077
Urban population (% of total),SP.URB.TOTL.IN.ZS,Syrian Arab Republic,SYR,48.931,51.947,54.908,55.29,55.677,56.066,56.459,56.855,57.255,57.656,58.061,58.467
Urban population (% of total),SP.URB.TOTL.IN.ZS,Tajikistan,TJK,31.658,26.486,26.483,26.5,26.516,26.533,26.568,26.621,26.692,26.782,26.891,27.018
Urban population (% of total),SP.URB.TOTL.IN.ZS,Tanzania,TZA,18.884,22.309,26.776,27.439,28.114,28.798,29.493,30.196,30.901,31.608,32.316,33.023
Urban population (% of total),SP.URB.TOTL.IN.ZS,Thailand,THA,29.424,31.391,41.419,42.744,44.08,45.394,46.682,47.943,49.174,50.374,51.54,52.671
Urban population (% of total),SP.URB.TOTL.IN.ZS,Timor-Leste,TLS,20.842,24.263,28.203,28.85,29.507,30.171,30.832,31.485,32.131,32.77,33.401,34.022
Urban population (% of total),SP.URB.TOTL.IN.ZS,Togo,TGO,28.589,32.907,36.587,37.058,37.533,38.01,38.493,38.979,39.469,39.964,40.463,40.965
Urban population (% of total),SP.URB.TOTL.IN.ZS,Tonga,TON,22.704,23.012,23.281,23.335,23.389,23.443,23.498,23.56,23.632,23.712,23.801,23.898
Urban population (% of total),SP.URB.TOTL.IN.ZS,Trinidad and Tobago,TTO,8.534,10.777,9.408,9.249,9.092,8.937,8.795,8.666,8.55,8.445,8.352,8.27
Urban population (% of total),SP.URB.TOTL.IN.ZS,Tunisia,TUN,57.946,63.432,65.601,65.767,65.934,66.1,66.274,66.456,66.645,66.842,67.047,67.259
Urban population (% of total),SP.URB.TOTL.IN.ZS,Turkey,TUR,59.203,64.741,69.562,70.141,70.715,71.282,71.834,72.37,72.891,73.397,73.887,74.363
Urban population (% of total),SP.URB.TOTL.IN.ZS,Turkmenistan,TKM,45.075,45.913,47.826,48.109,48.402,48.707,49.023,49.35,49.688,50.037,50.396,50.766
Urban population (% of total),SP.URB.TOTL.IN.ZS,Turks and Caicos Islands,TCA,74.343,84.55,89.294,89.77,90.228,90.668,91.09,91.482,91.847,92.186,92.502,92.795
Urban population (% of total),SP.URB.TOTL.IN.ZS,Tuvalu,TUV,40.661,46.018,52.765,53.782,54.796,55.807,56.815,57.814,58.782,59.717,60.62,61.489
Urban population (% of total),SP.URB.TOTL.IN.ZS,Uganda,UGA,11.076,12.082,13.892,14.189,14.492,14.8,15.115,15.437,15.766,16.101,16.444,16.794
Urban population (% of total),SP.URB.TOTL.IN.ZS,Ukraine,UKR,66.757,67.145,68.325,68.502,68.686,68.876,69.072,69.274,69.482,69.695,69.915,70.14
Urban population (% of total),SP.URB.TOTL.IN.ZS,United Arab Emirates,ARE,79.051,80.236,83.377,83.723,84.055,84.375,84.684,84.981,85.266,85.541,85.804,86.058
Urban population (% of total),SP.URB.TOTL.IN.ZS,United Kingdom,GBR,78.14,78.651,80.757,81.031,81.302,81.57,81.834,82.092,82.345,82.592,82.835,83.073
Urban population (% of total),SP.URB.TOTL.IN.ZS,United States,USA,75.3,79.057,80.438,80.606,80.772,80.94,81.108,81.277,81.447,81.617,81.788,81.96
Urban population (% of total),SP.URB.TOTL.IN.ZS,Uruguay,URY,88.973,92.028,93.998,94.209,94.414,94.612,94.803,94.983,95.152,95.311,95.46,95.601
Urban population (% of total),SP.URB.TOTL.IN.ZS,Uzbekistan,UZB,40.172,37.429,36.305,36.235,36.191,36.173,36.182,36.217,36.278,36.365,36.479,36.62
Urban population (% of total),SP.URB.TOTL.IN.ZS,Vanuatu,VUT,18.715,21.673,23.985,24.286,24.589,24.894,25.2,25.508,25.817,26.128,26.441,26.754
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Venezuela, RB",VEN,84.284,87.98,88.687,88.728,88.769,88.81,88.851,88.894,88.941,88.99,89.043,89.098
Urban population (% of total),SP.URB.TOTL.IN.ZS,Vietnam,VNM,20.255,24.374,29.128,29.758,30.392,31.029,31.668,32.309,32.951,33.593,34.236,34.879
Urban population (% of total),SP.URB.TOTL.IN.ZS,Virgin Islands (U.S.),VIR,87.685,92.586,94.239,94.419,94.594,94.76,94.916,95.064,95.203,95.335,95.459,95.576
Urban population (% of total),SP.URB.TOTL.IN.ZS,West Bank and Gaza,PSE,67.709,71.969,73.704,73.919,74.136,74.356,74.577,74.8,75.026,75.252,75.481,75.71
Urban population (% of total),SP.URB.TOTL.IN.ZS,"Yemen, Rep.",YEM,20.931,26.267,30.602,31.165,31.732,32.302,32.874,33.45,34.027,34.606,35.187,35.769
Urban population (% of total),SP.URB.TOTL.IN.ZS,Zambia,ZMB,39.407,34.802,37.875,38.299,38.725,39.153,39.587,40.027,40.472,40.922,41.379,41.84
Urban population (% of total),SP.URB.TOTL.IN.ZS,Zimbabwe,ZWE,28.988,33.758,33.56,33.378,33.196,33.015,32.834,32.654,32.501,32.376,32.277,32.207
Urban population (% of total),SP.URB.TOTL.IN.ZS,Arab World,ARB,50.3180112158053,52.9684777726132,55.4811178609286,55.8432311117215,56.1954699178204,56.5365119367257,56.8713506931064,57.1962690096485,57.5087396340129,57.8082102147962,58.0939285510597,58.3680328466406
Urban population (% of total),SP.URB.TOTL.IN.ZS,Caribbean small states,CSS,39.3414545610197,41.5387294799279,41.9943321907701,42.0391929312545,42.0831352087657,42.1435055878328,42.2086540854711,42.2815612740361,42.3650909637302,42.4614672623591,42.570496572204,42.6921528749389
Urban population (% of total),SP.URB.TOTL.IN.ZS,Central Europe and the Baltics,CEB,61.5209944816578,61.5674392641272,61.9649929353808,62.0201597057641,62.0594168332659,62.0995170410789,62.1418473493389,62.1976403975883,62.2692829094589,62.3570294172686,62.4577645987411,62.5721897474242
Urban population (% of total),SP.URB.TOTL.IN.ZS,Early-demographic dividend,EAR,34.9994795054139,38.3796638632066,41.3180667103806,41.7146797006733,42.1131341028294,42.5143595167584,42.9214549311964,43.3315277216053,43.7447900966392,44.1605219613988,44.5776837119196,44.9973419037241
Urban population (% of total),SP.URB.TOTL.IN.ZS,East Asia & Pacific,EAS,33.6385607519368,41.2106441266562,49.7223186652423,50.7586341784863,51.7912268519931,52.8144746192279,53.8120095987798,54.7777181338293,55.7155885144501,56.6249043366054,57.5041401651261,58.3534285975701
Urban population (% of total),SP.URB.TOTL.IN.ZS,East Asia & Pacific (excluding high income),EAP,28.1513439323115,36.6456826854202,45.486380682566,46.5910836307389,47.696830996186,48.7991697814389,49.8760223638295,50.9235311023247,51.9422091144275,52.9316365953166,53.8911090642845,54.8214763713293
Urban population (% of total),SP.URB.TOTL.IN.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,27.7629014962733,36.3532327509543,45.3004594516197,46.4186122387379,47.5375768563452,48.6528508588324,49.7420969543883,50.8014204894505,51.8313509097611,52.8314454251105,53.8010236540445,54.7409201764586
Urban population (% of total),SP.URB.TOTL.IN.ZS,Euro area,EMU,71.2913480147849,72.5956940976463,74.3503788912731,74.5846540549346,74.8171815167647,75.0546425118577,75.2791097828088,75.4888556587651,75.6981639547593,75.9205580609587,76.144390312998,76.369110052051
Urban population (% of total),SP.URB.TOTL.IN.ZS,Europe & Central Asia,ECS,67.6001481106748,68.3366714159117,69.6773022805026,69.8462616997624,70.0077395305863,70.1652208652832,70.3390712997884,70.5117950754225,70.6877198674814,70.8713612188255,71.0589652967843,71.2498799847043
Urban population (% of total),SP.URB.TOTL.IN.ZS,Europe & Central Asia (excluding high income),ECA,62.964599791124,63.2790573190414,64.1377846091944,64.2524615342665,64.3568653716036,64.4687742688556,64.6140069045166,64.7657076282636,64.9205005263319,65.0809143921571,65.2470715288549,65.4194212657551
Urban population (% of total),SP.URB.TOTL.IN.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,62.7131158563687,63.0626452871012,63.801527640796,63.8989616566543,63.9885965506869,64.0863495457956,64.2145474462883,64.3510431207308,64.492603246648,64.6415036646025,64.7973842505149,64.9607596030302
Urban population (% of total),SP.URB.TOTL.IN.ZS,European Union,EUU,70.4968759206433,71.5627720065072,73.2641511489632,73.4897103175479,73.7147584686332,73.9394491105332,74.1554643070741,74.3639008110953,74.5754154472252,74.7988993650658,75.0252393575837,75.2530122423432
Urban population (% of total),SP.URB.TOTL.IN.ZS,Fragile and conflict affected situations,FCS,32.3308693039679,35.5298785046309,38.2923546438027,38.6641868944889,39.0371647780093,39.4116498913912,39.7877239539,40.1652691505824,40.5458211491848,40.9298946164028,41.3173898282322,41.7085534203829
Urban population (% of total),SP.URB.TOTL.IN.ZS,Heavily indebted poor countries (HIPC),HPC,25.2715357487164,28.5268297085595,31.4898092775215,31.9239553372939,32.3625040905948,32.8042804534722,33.2500311463996,33.6992419915767,34.1526997061606,34.6108021542053,35.0732544380362,35.5394397051646
Urban population (% of total),SP.URB.TOTL.IN.ZS,High income,HIC,74.803105549841,77.1375413514641,79.7400518342477,80.0123449988317,80.2777105629257,80.5417534701135,80.7856532404646,81.0143770995253,81.2360915211178,81.4557905781626,81.6699159641988,81.878900219584
Urban population (% of total),SP.URB.TOTL.IN.ZS,IBRD only,IBD,38.3942689693258,43.5239946867829,48.6259350927436,49.2700952825768,49.9165896474511,50.5646431798545,51.2066645273042,51.8381178477763,52.4572979628479,53.0636421456114,53.655597066547,54.2348465812003
Urban population (% of total),SP.URB.TOTL.IN.ZS,IDA & IBRD total,IBT,35.8975648114899,40.3680140462246,44.8462326830334,45.4186410438676,45.9915554022349,46.5645828265664,47.1329226118143,47.6925461319204,48.2428664202169,48.7838685774007,49.31480091614,49.8365808907406
Urban population (% of total),SP.URB.TOTL.IN.ZS,IDA blend,IDB,30.5311172066757,33.6251171973224,37.4435245927098,37.9645264219434,38.4943505462768,39.0286255269303,39.5693191205684,40.1134820488677,40.6619001979489,41.2144030427322,41.7711578271652,42.330958102056
Urban population (% of total),SP.URB.TOTL.IN.ZS,IDA only,IDX,23.0711126598483,26.3484615499566,29.7924153961347,30.2794405656688,30.7632450457894,31.2421703386307,31.7178024357296,32.1925993063222,32.6718571185525,33.158458053126,33.6525188312191,34.1527621216271
Urban population (% of total),SP.URB.TOTL.IN.ZS,IDA total,IDA,25.5826693045164,28.7705270378395,32.3163400939205,32.8149107145476,33.3159894149315,33.8156623935817,34.31432883454,34.8138141393774,35.3176620987723,35.8274307207168,36.3431413896771,36.8635035421287
Urban population (% of total),SP.URB.TOTL.IN.ZS,Late-demographic dividend,LTE,38.7296970584736,45.5420360173111,53.2369620568191,54.2169419216386,55.1974662626443,56.1753372773667,57.1307995914365,58.0591801044392,58.9598862296799,59.8330902786422,60.6762870542048,61.4915722974199
Urban population (% of total),SP.URB.TOTL.IN.ZS,Latin America & Caribbean,LCN,70.4350511493539,75.2455013266622,77.828293551368,78.128525459713,78.4251772166068,78.7173223923024,79.0026787210318,79.2816395682566,79.5542559578321,79.8204283969307,80.080376213106,80.3346357992486
Urban population (% of total),SP.URB.TOTL.IN.ZS,Latin America & Caribbean (excluding high income),LAC,68.5676274312547,73.7765793968553,76.5578677382141,76.8812571390012,77.2005562381689,77.5154707587082,77.8227698109621,78.1228231205557,78.4163148304979,78.7027303020394,78.9823541104425,79.2557471779695
Urban population (% of total),SP.URB.TOTL.IN.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,70.1884657557541,75.1132686809739,77.7662123934768,78.0749369669478,78.3797487997004,78.6803415038249,78.9737037150945,79.2601847350122,79.5401839277076,79.8132647235095,80.0796907320514,80.3399765883644
Urban population (% of total),SP.URB.TOTL.IN.ZS,Least developed countries: UN classification,LDC,21.0881105338409,24.4579314727608,27.9745528024043,28.4728729174617,28.9777111541556,29.4878765872464,30.00207208136,30.5189971309985,31.0393576357207,31.5627601312971,32.0890514988359,32.6177081668367
Urban population (% of total),SP.URB.TOTL.IN.ZS,Low & middle income,LMY,35.282657897245,39.8349224847044,44.3808642896182,44.9613797865078,45.5427978727048,46.1242869384136,46.7007383152037,47.268313108651,47.8263699878477,48.3748961520727,48.913095580787,49.4419162812826
Urban population (% of total),SP.URB.TOTL.IN.ZS,Low income,LIC,23.62418757584,26.4029817967124,28.9637038192844,29.3435098543615,29.7172230800928,30.0830157140934,30.4453486816368,30.8093024496479,31.1831010991499,31.571752934116,31.9756492971488,32.3929077121154
Urban population (% of total),SP.URB.TOTL.IN.ZS,Lower middle income,LMC,29.6858578089745,32.7364452780435,35.8197956080993,36.2412245523012,36.6692406083482,37.1027876917108,37.5449239338198,37.993244199696,38.4465285217347,38.90683824373,39.371451100409,39.8414649372384
Urban population (% of total),SP.URB.TOTL.IN.ZS,Middle East & North Africa,MEA,54.8357875833439,58.4784114245074,61.6050136563834,62.001434743537,62.3865101105782,62.763205654157,63.1357959663575,63.4984312880764,63.8487716399758,64.1856183338353,64.5078759707693,64.8173293739645
Urban population (% of total),SP.URB.TOTL.IN.ZS,Middle East & North Africa (excluding high income),MNA,51.6597897529581,55.329734301472,58.1560449326535,58.479811213545,58.8087325288052,59.1440413370065,59.4885458354903,59.8335730070939,60.1729634633816,60.5030580713085,60.82287904457,61.1346755665389
Urban population (% of total),SP.URB.TOTL.IN.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,51.5192597642909,55.1548541389726,57.9812555609788,58.3043613267081,58.6326656764569,58.9672463595909,59.3111182781183,59.6555197263579,59.9941740806461,60.3233967760809,60.6421550996057,60.9526951558339
Urban population (% of total),SP.URB.TOTL.IN.ZS,Middle income,MIC,36.3372885101309,41.2127286760051,46.1691182934059,46.8011818319143,47.4352857673553,48.0706002393855,48.7010334332433,49.3218864699555,49.9319354791222,50.5308411984647,51.1174912577988,51.6931311239458
Urban population (% of total),SP.URB.TOTL.IN.ZS,North America,NAC,75.4336828110101,79.1025248815262,80.455579106519,80.6247522170395,80.7919851433693,80.9609233993943,81.1299404404361,81.2999668026384,81.4707765453561,81.6415419619588,81.8132843112675,81.9858390254406
Urban population (% of total),SP.URB.TOTL.IN.ZS,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
Urban population (% of total),SP.URB.TOTL.IN.ZS,OECD members,OED,73.2482816431391,75.6977730077804,78.4329869597259,78.7198212649675,78.9999005530519,79.2746158560268,79.5334040641393,79.7794476318705,80.0192205081264,80.2566374185154,80.4890460143886,80.7169142554633
Urban population (% of total),SP.URB.TOTL.IN.ZS,Other small states,OSS,45.4577271424327,49.7238628101645,54.5705481114862,55.30274347396,55.9623685303791,56.5479209104381,57.0725893192399,57.5525685554322,58.0059181324653,58.4431676400761,58.8632805954519,59.2622751932056
Urban population (% of total),SP.URB.TOTL.IN.ZS,Pacific island small states,PSS,31.4979687719841,34.5497030209509,36.0904919425668,36.3292003948121,36.5679861365542,36.799629038824,37.0326013623047,37.2739302452778,37.5302757559913,37.7790344304999,38.0306049374706,38.2853627113726
Urban population (% of total),SP.URB.TOTL.IN.ZS,Post-demographic dividend,PST,74.0905735326979,76.4121695442007,79.1712325102901,79.4568278413463,79.7344214458055,80.0138264132289,80.2722593482136,80.5142319304645,80.7503652075022,80.9836176365467,81.2115908641895,81.4346014758882
Urban population (% of total),SP.URB.TOTL.IN.ZS,Pre-demographic dividend,PRE,27.901553436299,31.3774936059256,34.9937007867996,35.4890320906042,35.9935441837678,36.5039086932573,37.0196118191258,37.5385514025688,38.0592309461384,38.5804589726223,39.1021976746501,39.6236089548351
Urban population (% of total),SP.URB.TOTL.IN.ZS,Small states,SST,43.0563475190556,46.8951913819258,50.8492545609003,51.4599753140995,52.0183686396358,52.5243679944512,52.9867292522836,53.4177255468778,53.8318021527169,54.2365102318236,54.6305210898864,55.0105484627508
Urban population (% of total),SP.URB.TOTL.IN.ZS,South Asia,SAS,25.0219101732218,27.3662422606929,30.210283542966,30.594595919882,30.9827079464228,31.3751869205031,31.7760492611749,32.1839268899823,32.6001045123532,33.0247216792939,33.4565180672863,33.8971802927225
Urban population (% of total),SP.URB.TOTL.IN.ZS,South Asia (IDA & IBRD),TSA,25.0219101732218,27.3662422606929,30.210283542966,30.594595919882,30.9827079464228,31.3751869205031,31.7760492611749,32.1839268899824,32.6001045123532,33.0247216792939,33.4565180672863,33.8971802927225
Urban population (% of total),SP.URB.TOTL.IN.ZS,Sub-Saharan Africa,SSF,27.1104973800283,30.8177914189063,34.278842543748,34.7603705999669,35.250893567049,35.7469469083782,36.2481733074783,36.7519175941458,37.2576194047973,37.7639256909237,38.2705142698913,38.7769810605676
Urban population (% of total),SP.URB.TOTL.IN.ZS,Sub-Saharan Africa (excluding high income),SSA,27.1074913584761,30.8154560758831,34.277011474964,34.7586038546566,35.2491475425211,35.7453119093723,36.2465855969205,36.7503616332707,37.2560980671483,37.7624281104615,38.2690531770616,38.7755570700369
Urban population (% of total),SP.URB.TOTL.IN.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,27.1104973800283,30.8177914189063,34.278842543748,34.7603705999669,35.250893567049,35.7469469083782,36.2481733074783,36.7519175941458,37.2576194047972,37.7639256909237,38.2705142698913,38.7769810605676
Urban population (% of total),SP.URB.TOTL.IN.ZS,Upper middle income,UMC,42.5374843498203,49.7554830639629,57.3526185174268,58.3029952187147,59.2554009767211,60.2056079139649,61.1346155281019,62.0374253453463,62.912361798605,63.7587033604519,64.5739825916159,65.3601750113103
Urban population (% of total),SP.URB.TOTL.IN.ZS,World,WLD,42.9155869142217,46.5200224715284,50.4594665447601,50.9584792245425,51.4541270089041,51.9413986723717,52.4282371798697,52.9061303395412,53.3767155612166,53.8395454076517,54.2936663297204,54.7385495778061
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 06/28/2018,,,,,,,,,,,,,,,
